"i","alpha","delta","mu","epsilon_b","epsilon_s","pin","log_likelihood"
150,0.353358305581857,0.69809206301584,7433.96031425162,10179.9692037149,9361.60647124115,0.118495172679941,-116903.513239346
151,0.38666077624077,0.724105481591885,7211.86731449911,10172.0736595842,9163.30172832804,0.126042130511458,-119450.437537909
152,0.326682822665706,0.367366175742883,7760.42285321027,9437.9494555,10247.9628402936,0.114089572530244,-124642.808292849
153,0.32666937434168,0.367363095507015,7749.50499922729,9438.59952688713,10275.9325294402,0.113796608319814,-124561.795671185
154,0.313336686915371,0.340417177146876,7850.37660686505,9418.34785217969,10313.0059496334,0.110846412044172,-124382.860345867
155,0.320015614822902,0.333334734752664,7735.6523418905,9406.59912325065,10274.9429005911,0.111726386453462,-124810.568764715
156,0.320008042345502,0.333325624066712,7737.76050794503,9403.93389967673,10273.927206497,0.111769650789986,-124823.626843432
157,0.326666313135004,0.326537590870202,7696.04644250612,9409.77283860484,10258.6728238076,0.11333442317573,-124637.726661453
158,0.333330185301896,0.340019723356663,7628.29413382191,9419.50473931411,10199.0622480536,0.114737845499027,-125146.709905749
159,0.340007602542136,0.333304111236618,7634.26550291813,9435.66891451156,10201.4198752326,0.116751315593654,-125028.533608634
160,0.353332046086003,0.660405901954391,7576.7479991091,10221.8643302167,9309.02403883406,0.120547024774332,-123882.644100958
161,0.339984602464541,0.313727958396478,7780.1925154172,9420.00860449329,10223.3571226649,0.118677538107853,-125767.229380451
162,0.353348170190829,0.641529197741418,7608.56502719026,10132.35200905,9293.41674985885,0.12157199946387,-122027.521989636
163,0.359992565442873,0.648107092859719,7531.46451493975,10132.8467159729,9257.26686505915,0.122674269290252,-122214.356189592
164,0.353324026405966,0.641542602324499,7547.33783811463,10180.099622825,9328.34494829951,0.12025450842377,-120701.235733069
165,0.360007905476129,0.648157055197514,7412.91943925791,10146.5514988593,9233.44462430336,0.121037018417426,-121204.773835018
166,0.35999117460223,0.62963186354121,7423.183950935,10152.0042833421,9290.71699051279,0.120835653180693,-121193.161591267
167,0.366660341339945,0.636409162176291,7372.66818247145,10150.6128848789,9252.1524380165,0.122286316852321,-121556.558608185
168,0.353360402493224,0.641504113885698,7620.22540442636,10172.3018670813,9315.23918582683,0.121400286830793,-123806.485349011
169,0.353340259702051,0.641496504290206,7708.02579628308,10150.3369099903,9320.81935866058,0.122711924521807,-123137.810792431
170,0.353335660756683,0.641491447436624,7497.3892053781,10101.566974193,9263.11283471042,0.120338060854131,-118673.158647273
171,0.339999287646788,0.62740456438094,7608.23622468762,10085.1632873688,9321.15957639744,0.117618380659924,-118859.064675787
172,0.333318498653618,0.620017633506957,7696.73337865285,10062.7888613778,9304.59393776681,0.116969022895998,-119434.137011778
173,0.333344798163816,0.620012689470534,7694.0812629026,10084.448771954,9296.28146583045,0.116870453597262,-119735.736385563
174,0.339989480635654,0.627438574460107,7696.7198281219,10174.7334635945,9302.04436581688,0.118441809190707,-122047.749074189
