"i","alpha","delta","mu","epsilon_b","epsilon_s","pin","log_likelihood"
120,0.408345418461839,0.326549151127957,7483.72315917965,8895.80651773248,10081.8853790907,0.138694497375309,-92851.2201409116
121,0.458345354779935,0.690913823409081,7128.28697694783,9741.59529853677,8808.96512108843,0.149750230150662,-92024.134361174
122,0.449993726807319,0.685206677479184,7152.9954787072,9691.45781190623,8815.70948462761,0.148154629484611,-90700.6561979856
123,0.441672990362513,0.679240552244868,7195.42831924852,9676.39802581815,8848.79762772171,0.146431084898453,-90429.9823995586
124,0.441689785776405,0.679237616325874,7168.84014736194,9699.03805229231,8877.37372078805,0.145629875142948,-89147.8297454994
125,0.38333269299394,0.347838784711735,7565.1620162482,8927.9217384755,9952.79008400477,0.133144289475683,-87798.2560796794
126,0.383336575223345,0.347828383028948,7562.1851837052,8919.44560057737,9978.32363269879,0.132995879774044,-87399.1580054592
127,0.441637030282505,0.698118369710303,6950.72408656873,9665.00331849396,8884.20053052685,0.141991359547357,-81340.1025264896
128,0.449994385162354,0.703664632628055,6833.76103215849,9649.49592520214,8826.52142759765,0.14269080924914,-79387.0881861541
129,0.408326080068909,0.387747288477918,7206.3286859829,8936.03905085517,9888.10097741812,0.135185201843395,-83386.9363832958
130,0.441685198636593,0.698125977101234,6976.17926974682,9677.35483780649,8897.39530727137,0.14228257899796,-83541.4267546665
131,0.441676775260579,0.716987050863481,6951.58210072672,9668.59204250629,8794.93959447895,0.142582376913306,-83448.089181954
132,0.399994025338542,0.395819222060805,7249.20121290471,8921.66926173787,9835.99291309768,0.133887292546615,-84714.8768692072
133,0.433351978343088,0.711517686979928,7044.07592824189,9659.76257258784,8870.80555426138,0.141432864671584,-84533.7619369365
134,0.400003002398092,0.395843528749198,7226.91192241783,8951.90254065441,9885.94200648057,0.13304043246667,-83089.5369939562
135,0.433293909273262,0.711534765338836,7052.9089954019,9696.31319102069,8901.93602578766,0.141126341902548,-83629.4794819038
136,0.391648543314752,0.382992405706479,7313.27390605484,8947.20617823008,9873.49132370409,0.132084032382784,-83606.2853441723
137,0.383305074598628,0.36957034224227,7342.29747422234,8944.05454050741,9881.62693102086,0.130052546401144,-83569.0794723704
138,0.383354963294195,0.36953355899248,7335.44302178023,8961.38186995806,9869.65866522813,0.129929447185586,-83349.8855818454
139,0.383329121079322,0.369564077181817,7342.776730494,8955.31813232964,9860.04338299587,0.130129085801194,-83231.7792970147
140,0.425014141285599,0.686280104392915,7059.7099971773,9719.70995285003,8940.22270156587,0.138523540779039,-83304.6813386958
141,0.433339203142249,0.692293321727599,7129.91479587916,9768.63792560512,8962.36416357363,0.141593776648621,-84820.5021317825
142,0.36666364224697,0.363619017822555,7594.92820027315,9026.7280433496,10003.2390468427,0.127656007640942,-85271.9027027469
143,0.375019881433247,0.377793997028415,7624.2582749162,9062.77452640557,10018.5502457505,0.130317854842433,-86503.8265351932
144,0.374995235442253,0.377766286783283,7586.23565469603,9086.83303300377,10079.9100054324,0.129241368170555,-85798.836188715
145,0.383331180681289,0.391319954867839,7698.59853885511,9149.22372069744,10124.1136618721,0.132786765669607,-89782.1263812874
146,0.383321483381805,0.391321776248469,7696.60626409278,9137.62691390731,10147.06490768,0.132686260167252,-89929.8144771792
147,0.383329742926115,0.413027149156348,7811.28367859596,9194.38736405066,10135.0656022489,0.134130570360131,-90606.0580126718
148,0.391668252811836,0.425539222765917,7755.64001389514,9255.95839668552,10178.5499774505,0.135173468820663,-89294.1132129487
149,0.400002850362864,0.437491003976163,7767.27809006119,9268.04602771001,10176.0175733458,0.137773659355447,-89621.059587406
150,0.399993830125076,0.437518361814912,7749.04707867238,9271.09344616414,10213.5572003515,0.137244978661409,-89401.0333608426
151,0.400011332424166,0.437511683066779,7900.59611763927,9287.6521623977,10201.1277960999,0.139534324643119,-89512.1884871684
152,0.408325744347368,0.428601602247179,7920.9405783029,9252.40154661609,10190.3789417777,0.142625085370761,-88817.0614015404
153,0.39999746290857,0.437475471021717,8003.1487788319,9233.69303372662,10140.5912836603,0.141801327591852,-87909.7248251066
154,0.408352916045746,0.448980043439771,7985.08462758789,9283.05300629545,10172.1776031976,0.14354366414252,-88020.5595910642
155,0.416688378650396,0.460000006101844,7961.97198628099,9293.71216754855,10165.0784947912,0.145661897568252,-88189.007285215
156,0.416684251358673,0.480026101839566,8044.87457423233,9331.96411201514,10116.5647932761,0.147020588265396,-87807.9522445425
