i,eta,kappa,phi_plus,phi_minus,omega_plus,omega_minus,epsilon_b,epsilon_s,mu,alpha,delta,pin,alpha_prior,delta_prior,pin_prior,log_likelihood,n_iter,pls_next
60,0.36844459647922534,0.5,0.0833958177122386,0.00011107408641563923,0.1818760225413561,0.4444567873805821,9646.854466444538,10566.283034497641,7254.250310815558,0.35597959633276266,0.4285918309054558,0.1132839728453908,0.0019940179461615157,0.5,0.0007151171390546303,-39592.863461567125,8,-35.54030227262391
61,0.34213088440386286,0.4615443777880327,0.0833958177122386,0.00011107408641563923,0.1818760225413561,0.4444567873805821,9688.204036741441,10601.816556012598,7215.440970131924,0.3378506335935074,0.4081883868767573,0.10725830878342921,0.9990029910269193,0.999001996007984,0.2621345892935673,-39267.93108928485,8,-418.72011581108256
62,0.35899802579288764,0.4285816311955435,0.0833958177122386,0.00012495314257153568,0.1818760225413561,0.5000000000000001,9629.326918233128,10582.301713226449,7108.8048185668595,0.35435347046331744,0.38321090402774255,0.11082079657322379,0.0019940179461615157,0.5,0.000700841587465716,-39404.002119486795,7,-568.5329998344026
63,0.34213088440386286,0.38463313336409793,0.07698223486887641,0.00012495314257153568,0.16672221296450593,0.5000000000000001,9624.650414754113,10577.21924851296,7113.640274857419,0.337083246375506,0.3576866604470483,0.1061024145277389,0.9990029910269193,0.999001996007984,0.2602328711347143,-39517.8873088455,7,-352.3670049306691
64,0.3589955283371924,0.3571562856906648,0.07699302175684815,0.00014279594459517346,0.16673487434686035,0.42859183090545555,9572.878381736457,10563.358092360377,7033.013607426073,0.3390356040927828,0.3500423276466537,0.10587789430636126,0.9990029910269193,0.0009980039920159682,0.2586679935169328,-39674.89455995137,6,-3921.2605385975894
65,0.35899802579288764,0.35716326239108714,0.0769822348688764,0.0001427959445951735,0.25004165972337944,0.4285918309054555,9676.468806918856,10611.397904822517,7331.877370476968,0.3569088911401483,0.3752698468852339,0.11424793291411163,0.0019940179461615157,0.5,0.0007201036670499228,-43450.60504485651,9,-632.9143090723259
66,0.36844459647922534,0.3571632623910871,0.0769822348688764,0.00012495314257153568,0.25004165972337944,0.37503124218945266,9710.774358720424,10580.80161264733,7324.077996569554,0.35597959633276294,0.38098638484242586,0.11385847827296429,0.0019940179461615157,0.5,0.0007192068000075179,-43987.32190143831,8,-612.7428393786829
67,0.36844459647922534,0.3571632623910871,0.07698223486887641,0.00012495314257153568,0.2500416597233795,0.3750312421894526,9772.218496643805,10494.567821470719,7323.379265228939,0.35597959633276294,0.380986384842426,0.11397223738348493,0.0019940179461615157,0.5,0.0007200172280407397,-44259.875534555686,8,-2419.8124602809685
68,0.27275413040020013,0.41668055324112657,0.1250780957141072,0.00014279594459517351,0.28577549271636676,0.14295915452727795,10288.946382004664,10588.742456797618,8720.73050292711,0.27266125494977866,0.44260140582764645,0.10224703489258966,0.0019940179461615157,0.5,0.0008322195790166996,-46111.62834805389,6,-25.344576803265845
69,0.2790968071994976,0.41668055324112646,0.11118516050205487,0.00014279594459517351,0.25006248437890527,0.14295915452727795,10332.04801390928,10570.080254445453,8706.269978475833,0.27124675896897077,0.4375234287142322,0.1015122260311085,0.0019940179461615157,0.5,0.0008298701181379598,-45713.08143959948,6,-361.5321036929207
70,0.2790968071994977,0.4166805532411263,0.11118516050205487,0.00014279594459517351,0.25006248437890527,0.14295915452727795,10261.299813750327,10499.21454226209,8777.072765635181,0.2712467589689709,0.4375234287142321,0.10287909264075931,0.0019940179461615157,0.5,0.0008423152919069606,-45731.84907804808,6,-171.81787692298246
71,0.2558426156314674,0.4545537175059083,0.11118516050205487,0.00014279594459517351,0.25006248437890527,0.14295915452727795,10276.52660035867,10513.459964838794,8762.301858872388,0.2531974479639721,0.46253161851637037,0.09642457561864991,0.9990029910269193,0.0009980039920159682,0.29629360976539537,-45860.83914842264,6,-918.2867276772674
72,0.3333589723867395,0.6922781110598368,0.0001998800719568259,0.26667999733386666,0.2001199520191923,0.09098345755317218,10651.543233186236,9386.338062910258,8034.583091975735,0.3220095630720121,0.7349268379518159,0.11435146319540268,0.9990029910269193,0.999001996007984,0.28600494373635044,-41976.91627983403,13,-1156.0063204542416
73,0.2790968071994977,0.6666388935177471,0.0001998800719568259,0.181859492865582,0.2001199520191923,0.11119751166407456,10559.359434198017,9613.01378901825,8811.343665691598,0.2712467589689707,0.6874297138573036,0.10593049142407471,0.0019940179461615157,0.5,0.0008702341172832054,-43130.738354402805,7,-795.3068105970102
74,0.24447259071617466,0.4545537175059079,0.1250780957141072,0.0001665833749791771,0.1429591545272779,0.1667777407530823,10254.656876219817,10355.302394731754,9191.997949880919,0.23735362402345409,0.42860202770241335,0.09572575773703211,0.9990029910269193,0.999001996007984,0.30822331873543174,-42848.80607795244,6,-6438.574263668727
75,0.2790968071994976,0.6666388935177469,0.0001998800719568259,0.2727437971462328,0.2001199520191923,0.12509372656835788,10846.114776971976,9735.968532786907,9056.768409666442,0.28976621268393693,0.7075275993930109,0.11308700295343255,0.0019940179461615157,0.5,0.0008766618286928996,-47709.55338912638,9,-47.05591740794453
76,0.28574149465514365,0.6666388935177467,0.0001998800719568259,0.2500208281263018,0.2001199520191923,0.11119751166407466,10889.620134571735,9780.12491185413,9012.78262261633,0.2881933264417292,0.7058097142185111,0.11163471676115674,0.0019940179461615157,0.5,0.0008687111563741978,-47345.25640588071,9,-2837.792970222792
77,0.26193367140442336,0.7272314124704602,0.0001998800719568259,0.2500208281263018,0.2001199520191923,0.11119751166407466,10846.478226364803,9730.506664372553,9060.704198720034,0.2722106644167737,0.746657957818916,0.10703367356212806,0.9990029910269193,0.0009980039920159682,0.3055039267504901,-49464.44518063054,9,-769.494004136291
78,0.2558426156314674,0.7272314124704603,0.0002498126405196103,0.2500208281263018,0.0002498750624687656,0.11119751166407466,10810.755742429381,9636.30494262758,9319.711125131635,0.25295796110954766,0.7327330352672881,0.10337825231270181,0.9990029910269193,0.999001996007984,0.3128766043855095,-49854.54126751454,9,-677.5491394774733
79,0.217420603004152,0.6999600079984005,0.0002498126405196103,0.11118516050205486,0.0002498750624687656,0.1250937265683579,10780.312292000317,9847.238762386773,10251.84146822002,0.20353182495321737,0.6701296238455718,0.09186247826613224,0.9990029910269193,0.999001996007984,0.33177503133893066,-49352.104621475184,7,-907.190128895262
80,0.27275413040021557,0.666638893517762,0.0001998800719568259,0.20003998800358821,0.00019992003198720512,0.12509372656834955,10568.426276843076,9587.795684091358,8857.466106657563,0.2543001914962216,0.6666000266560163,0.10051710318027678,0.0019940179461615157,0.5,0.0008754856752097176,-46822.66925028873,7,-244.07272130202463
81,0.2954798536463423,0.6922781110598369,0.0001998800719568259,0.2000399880035989,0.00019992003198720512,0.1250937265683579,10553.539032383023,9598.441385094631,8906.1460563518,0.2712830736650059,0.6869510794630962,0.10705775849551692,0.0019940179461615157,0.5,0.0008804781602109248,-46669.87261723594,7,-473.3569000227671
82,0.3023509987675278,0.6922781110598369,0.0001998800719568259,0.18185949286558212,0.00019992003198720512,0.11119751166407464,10569.502981151332,9465.729981931385,8997.46919392283,0.2712467589689709,0.6874297138573036,0.10858514073999682,0.0019940179461615157,0.5,0.0008946770707131188,-46262.94121986226,7,-904.0600906750038
83,0.3023509987675279,0.6922781110598367,0.0001998800719568259,0.18185949286558212,0.00019992003198720512,0.11119751166407464,10634.886475916195,9542.409408616519,8923.918130605853,0.27124675896897077,0.6874297138573034,0.10711553015149472,0.0019940179461615157,0.5,0.0008811276703981357,-47061.51626692435,6,-1535.2476081101265
84,0.3023509987675279,0.6922781110598367,0.0001998800719568259,0.18185949286558212,0.00019992003198720512,0.11119751166407464,10623.734243757342,9518.59299674411,8944.227428591483,0.27124675896897077,0.6874297138573034,0.10749944868639634,0.0019940179461615157,0.5,0.0008846630219849204,-47488.45216143579,7,-1656.8194177884068
