"i","alpha","delta","mu","epsilon_b","epsilon_s","pin","log_likelihood"
90,0.344442436079999,0.354863391365986,8918.33906712993,10087.7794675647,10604.1187693192,0.129266386357588,-80361.9705624562
91,0.333347233308673,0.366669718482795,8992.03049942519,10205.3531708432,10641.1749270604,0.125711664062256,-78993.4470696617
92,0.322222429047203,0.379332850889889,9006.74035297203,10198.1712168572,10660.7082420511,0.122139945914305,-79421.0470482484
93,0.311111652944325,0.392836659087466,9085.3212815354,10327.1788550111,10708.0006974111,0.118455344806395,-75748.46096953
94,0.322241579651416,0.379282394116102,9029.23727612299,10184.7825195755,10622.288073373,0.122681478461735,-78403.5884385481
95,0.299990232821918,0.370377490466735,9340.69574217267,10211.0563111749,10605.1036317803,0.118641907663181,-78251.3664955627
96,0.288892675581446,0.384652654552373,9449.29532160805,10266.5712279031,10638.2294257627,0.115501358697523,-78597.5593322758
97,0.288884042519242,0.384617317597228,9437.88630110264,10264.1521851884,10673.3482532107,0.115215513471062,-77861.2043187208
98,0.288885157231494,0.423069786382772,9351.60388441789,10458.3004704054,10594.2991777508,0.113729213044176,-77395.8040586673
99,0.266683084840942,0.333341227116319,10005.0228451561,10417.0760060576,10967.4440570718,0.1109302248409,-82734.2783404123
100,0.288890014637221,0.307703907248059,9709.33517417471,10309.5648527666,10963.3199359208,0.116494374903349,-82759.5699251294
101,0.288882473064688,0.30766136069268,9692.3804863509,10316.1327008809,11004.6842949634,0.116080795380767,-81367.2840812448
102,0.299987683553226,0.296332811229875,9478.35239154247,10338.3088937385,11052.4105716936,0.117330042675013,-82459.6931748595
103,0.322228903645604,0.344842016054302,8958.97652851143,10356.1868774938,10883.3555401349,0.119654948382151,-80679.7005438842
104,0.333342810568332,0.366677268763052,8825.73751175395,10423.0711020775,10914.2453125517,0.121172959076879,-79972.5499092042
105,0.333334987762478,0.366675102072398,8795.80460291536,10453.1019066407,10944.0406730606,0.120512077464676,-77696.0724341553
106,0.333331880193742,0.433343078150727,8776.51269567856,10619.5758779242,10729.1545540046,0.120518445007318,-77844.5595260598
107,0.333349025434836,0.433297054969074,8780.69596422344,10614.5865612939,10726.1820825259,0.120613975261653,-77903.7854475044
108,0.333321366880505,0.433355215872607,8777.96810433616,10616.5101955861,10730.1057791987,0.120543178106755,-77904.1477615759
109,0.32221687939437,0.34485157030112,9037.29716898558,10362.5959053029,10879.8242110283,0.120556541277302,-78789.8395573404
110,0.322225104080574,0.344870878609045,9119.06734853078,10288.1657257355,10782.8491065143,0.122385046575853,-82752.3400193341
111,0.344447920926079,0.322565603672201,8857.10996605057,10251.2245108519,10866.7523734586,0.126229451848087,-80940.2608614638
112,0.32223004774424,0.344803513508811,8935.66202942467,10367.8459829682,10871.4300791691,0.119382427993631,-81695.5046648681
113,0.32222530803809,0.413795971240711,8878.97653099845,10571.98985434,10677.9944282381,0.118660741591816,-81289.7082611974
114,0.277773559208575,0.560045369530995,9468.26882017485,11021.0292280381,10427.6771675988,0.109226421598657,-80786.5852825828
115,0.288892460360913,0.538434400968602,9428.74029049604,11070.4167085157,10468.6531151515,0.112265435794552,-80504.0293987654
116,0.277768204152818,0.520043179601195,9530.04616930084,11010.9600334143,10486.895014706,0.109635284122469,-81030.7508477271
117,0.288892865156582,0.538434678193544,9514.59643640535,11089.6413568232,10527.3834176817,0.112810070733105,-80584.3096428011
118,0.300007414707883,0.555582692368001,9524.7124613515,11117.4724301302,10521.8818981861,0.116647066079165,-80888.1194322575
119,0.31110852859319,0.571414922242437,9370.73648877606,11140.5348291756,10468.2640908191,0.118875484212635,-80919.1502042115
120,0.311100197656794,0.571437628199828,9395.94614269029,11116.7713450989,10441.8807422688,0.119398439942678,-80378.463214552
121,0.311115073116858,0.571418356360181,9441.70572169561,11043.4238934863,10418.7639272794,0.120389333190297,-79985.2968454827
122,0.322195538010915,0.551728972973919,9337.19617265356,11081.7974787335,10492.6847026319,0.122377944206929,-79414.2906138822
123,0.322267838694858,0.551767410855332,9305.28916154685,11085.0501146113,10550.0524445269,0.121734506989839,-79644.0358563997
