i,eta,kappa,phi_plus,phi_minus,omega_plus,omega_minus,epsilon_b,epsilon_s,mu,alpha,delta,pin,alpha_prior,delta_prior,pin_prior,log_likelihood,n_iter,pls_next
180,0.31579870705156865,0.5000000000000001,0.24243250613580583,0.3125019529419117,0.16002719782417407,0.3636487592037087,9929.016470348188,10461.791971281178,8874.979740832607,0.3689558613285351,0.4838389010530285,0.13836621448838918,0.0019940179461615157,0.5,0.0008671320415577611,-180562.30882799183,8,-543.0630134922011
181,0.3097439890985293,0.5142848980068992,0.23530276740287617,0.31250195294115796,0.19233135912622107,0.363648759202433,9957.872528906099,10479.66757672063,8787.361651741496,0.37002654488341846,0.5011893102208043,0.13725964507812766,0.9990029910269193,0.0009980039920159682,0.3004709167371102,-179752.636692896,8,-2816.332172096068
182,0.3097473204660628,0.5142888865122938,0.24243250613580583,0.3030304184881861,0.2000239980801536,0.34783497188938534,9919.221000600139,10439.56180940929,8827.364289027977,0.3687316694992093,0.5000021772576159,0.13784062536403444,0.0019940179461615157,0.5,0.00086383934345707,-182321.6781861784,8,-284.9299106180824
183,0.3185933290416316,0.5000000206615642,0.24243250613580586,0.30303304394064473,0.20002399808015367,0.34783929582271766,9948.94898425559,10480.9933299808,8745.286198002328,0.37476270411508483,0.49180409599957714,0.13824434971743313,0.0019940179461615157,0.5,0.0008528357733574176,-179254.04116692915,7,-152.31291870281783
184,0.31251074464192763,0.48571667966620347,0.26471193718201325,0.3030320716793559,0.20002399808015353,0.3478376945737778,9931.319959404467,10481.079256622379,8727.63421961319,0.37333553374066286,0.4761202357985793,0.13765250435755585,0.9990029910269193,0.999001996007984,0.29929742718642727,-179072.86504845516,7,-946.0740577982817
185,0.3125095002193129,0.48571511938009326,0.25714938719538327,0.3125019413874731,0.19233135912622112,0.3181983284920868,9918.085806657162,10461.010432846642,8795.701269576353,0.3682037482118083,0.4857212071223404,0.13712636268257442,0.9990029910269193,0.0009980039920159682,0.30127283158136775,-179638.08583287473,7,-2474.8480644077385
186,0.3097440901417132,0.4857152300871128,0.26471193718201336,0.31250186781314915,0.2000239980801536,0.3181982195238479,9892.569896699039,10426.271610805514,8874.389976701323,0.36873011255272303,0.4848499301738139,0.13870719572416843,0.0019940179461615157,0.5,0.0008701428714446155,-181790.7211032153,7,-1787.486675957186
187,0.30974413984515536,0.4857152930958224,0.26471193718201336,0.3125018259384508,0.20002399808015364,0.31819815750477476,9890.80903321525,10425.026561297691,8875.91160648883,0.36873013650876574,0.48484996364261873,0.13874536539523727,0.0019940179461615157,0.5,0.0008704205944723027,-181996.5148228845,7,-21.074297944449263
188,0.3097439890985084,0.48571510199527945,0.26471193718201336,0.3125019529411755,0.20002399808015364,0.3181983456038547,9898.618897600814,10450.42000492508,8859.962318053964,0.3687300638519592,0.48484986213433395,0.13833579584265895,0.0019940179461615157,0.5,0.0008674414024099202,-180906.47344033292,8,-5298.761577215505
189,0.30974633652600525,0.4857180777927212,0.26471193718201286,0.3124999752691793,0.20002399808015306,0.3181954165542452,9857.293285450924,10410.874660912488,8900.449344811743,0.3687311952621912,0.48485144281463405,0.13935743413045737,0.0019940179461615157,0.5,0.0008748757547148251,-186138.41223990452,7,-745.2384267485087
