i,eta,kappa,phi_plus,phi_minus,omega_plus,omega_minus,epsilon_b,epsilon_s,mu,alpha,delta,pin,alpha_prior,delta_prior,pin_prior,log_likelihood,n_iter,pls_next
180,0.4536148366545364,0.5909049588655063,0.3999942862040396,0.2765993659979149,0.3809637177411675,0.08825951414622665,9789.640421637409,8864.189093014998,6594.952887518886,0.4581110446960768,0.5731653781430625,0.13938702421238716,0.0019940179461615157,0.5,0.0007044768052248361,-123097.76436107136,9,-164.27012912577138
181,0.46392379617125235,0.5777743211412826,0.39999428620403965,0.27659936599791496,0.38096371774116755,0.08825951414622665,9783.244585086328,8865.302577856093,6589.080910800506,0.46489544595637944,0.5641960057051065,0.14108624836494574,0.0019940179461615157,0.5,0.0007040492294880421,-123088.94602502929,9,-1085.8309792769207
182,0.46875618470256075,0.5777743211412845,0.388884259645032,0.27659936599791496,0.36364875920370876,0.08825951414623086,9753.913257236196,8834.943936576836,6618.976295796062,0.4636973559988612,0.5662602703419022,0.14171176685565642,0.0019940179461615157,0.5,0.0007095107034066408,-123971.78604905611,9,-214.60759334131805
183,0.46875618470252,0.5777743211413783,0.38888425964515594,0.27659936599791496,0.36364875920370876,0.0882595141464456,9740.424987526285,8820.10413831908,6633.206686263183,0.4636973559989018,0.5662602703418521,0.14215906622357152,0.0019940179461615157,0.5,0.0007121194697186238,-124091.26140455871,9,-350.01782243534615
184,0.4687561847021967,0.577774321142129,0.3888842596461484,0.2765993659979151,0.36364875920370876,0.08825951414816516,9733.982425297429,8815.333067160595,6638.731445459917,0.46369735599922857,0.5662602703414533,0.14233438557743527,0.0019940179461615157,0.5,0.000713142716378614,-124331.19909814201,9,-155.35268306087684
185,0.4687561847025603,0.5777743211412846,0.38888425964503204,0.27659936599791496,0.36364875920370865,0.08825951414623102,9745.884561285304,8807.408501363636,6637.721589126614,0.4636973559988612,0.566260270341902,0.1422896463717056,0.0019940179461615157,0.5,0.000712881557662329,-123757.17283803495,9,-590.9017067864211
186,0.46875618470256075,0.5777743211412838,0.3888842596450311,0.276599365997915,0.3636487592037087,0.08825951414622943,9755.89246925121,8838.334647481704,6616.222094024588,0.46369735599886086,0.5662602703419024,0.1416260359926969,0.0019940179461615157,0.5,0.0007090110076414513,-123019.92844217074,9,-44.4476307973841
187,0.4687561847025613,0.5777743211412826,0.3888842596450296,0.27659936599791496,0.36364875920370876,0.08825951414622667,9781.068849675952,8847.917677267518,6599.6107457939925,0.4636973559988602,0.566260270341903,0.1410942239825765,0.0019940179461615157,0.5,0.0007059134755599416,-121725.58209397174,9,-165.21199667228436
188,0.4687561847025613,0.5777743211412826,0.3888842596450296,0.2765993659979149,0.36364875920370876,0.08825951414622665,9784.193184488035,8852.288680240958,6595.801370091224,0.46369735599886025,0.566260270341903,0.1409755457042446,0.0019940179461615157,0.5,0.0007052227563018029,-121575.02662493703,9,-465.6015260230874
189,0.4687561847025613,0.5777743211412826,0.3888842596450296,0.27659936599791496,0.36364875920370876,0.08825951414622667,9777.282227329599,8846.861094646849,6601.897281325044,0.4636973559988602,0.566260270341903,0.1411677301301456,0.0019940179461615157,0.5,0.0007063413838264545,-121888.64096319381,9,-724.2612655827129
190,0.4687561847025613,0.5777743211412826,0.3888842596450296,0.27659936599791496,0.36364875920370876,0.08825951414622665,9785.65522870705,8837.073695703282,6603.507303845562,0.4636973559988602,0.566260270341903,0.14120650574650812,0.0019940179461615157,0.5,0.0007065671413423316,-122077.00679574776,9,-88.19827962719853
191,0.4687561847025613,0.5777743211412826,0.3888842596450296,0.2765993659979149,0.36364875920370876,0.08825951414622665,9797.573260553085,8838.924094350496,6608.100313731442,0.46369735599886025,0.566260270341903,0.14120119888801475,0.9990029910269193,0.999001996007984,0.26157023286722647,-122091.70397533181,9,-18.55931677406022
192,0.4687561847025613,0.5777743211412826,0.3888842596450296,0.2765993659979149,0.36364875920370876,0.08825951414622665,9804.263401542796,8843.589981883151,6631.69889096757,0.46369735599886025,0.566260270341903,0.14155999009409945,0.9990029910269193,0.999001996007984,0.26214152053152917,-121705.69920265973,9,-199.77534889686032
