"i","alpha","delta","mu","epsilon_b","epsilon_s","pin","log_likelihood"
120,0.316657566628587,0.42105995720676,9390.50250198288,10564.3789614417,9820.65440159007,0.12730098448407,-108124.921269594
121,0.316664363786391,0.421033060086219,9370.72218074483,10570.531502074,9859.70800314087,0.126823780772803,-107875.721020084
122,0.308351373743452,0.432394544731684,9709.57255644983,10597.8056259591,9872.7276653116,0.127595341371911,-108520.600429831
123,0.308329539514737,0.432427437767107,9724.01123503831,10570.9820455227,9874.81623224803,0.127887738379374,-109212.288586289
124,0.308326419164676,0.432421786684372,10044.3904221784,10592.8644694605,9930.70926811216,0.131112707060611,-112314.837518245
125,0.308336452793161,0.432422583177844,10030.366015114,10590.17372842,9966.36026690374,0.130774801610409,-112854.953286907
126,0.316670837081943,0.447401846740539,9936.48083353082,10606.78942909,9987.19440183204,0.132540739528343,-112611.255706472
127,0.32499804005814,0.461526060841986,9783.25860093998,10646.0967272507,10021.3967097468,0.13333062564486,-111395.048311053
128,0.316659686645121,0.473734214278042,9850.08365573072,10606.2958144106,9989.65484134185,0.131524964437703,-112024.49766624
129,0.333326989482683,0.500032545614606,9624.30820026133,10587.1022030393,9926.56775026047,0.135236517839648,-112026.644126313
130,0.349987214362744,0.500005970476049,9429.83124047573,10557.3852043536,9966.28189394804,0.138529302555488,-111390.517471656
131,0.34167140811889,0.536604517696759,9633.78507000231,10643.9474228644,9943.94627766808,0.137841718098109,-111089.163026767
132,0.341676272592481,0.536590809079499,9729.19575246915,10655.6585403478,10023.5800106605,0.138489760070432,-111052.429455696
133,0.341683705534576,0.536587328206089,9736.16540245823,10618.613420765,10043.5782408419,0.138676293791907,-111672.749562323
134,0.341665162387766,0.536578128332419,9747.99398595591,10561.4699978234,10072.6963958788,0.138977232221513,-111531.272599177
135,0.341651355198284,0.536559819555738,9775.03959569032,10499.6715349552,10077.3170798322,0.139637296330836,-112158.008775348
136,0.349995010625304,0.547611652792537,9702.19663213825,10524.3081835954,10109.4327958651,0.141314878342193,-111537.67353438
137,0.341675793077762,0.560964392329241,9648.05626130934,10490.1474010703,10076.3939098863,0.138142755017371,-110087.934629258
138,0.341680230574101,0.438994206977642,9673.04860403857,10031.4944726984,10512.7863602452,0.138581834001352,-109894.428998675
