"i","alpha","delta","mu","epsilon_b","epsilon_s","pin","log_likelihood"
120,0.341675251348597,0.68292316311285,7629.78220153152,10099.6240335576,9222.02960337911,0.118881841141879,-93039.4642915819
121,0.341679587268841,0.682898752134253,7625.09369466744,10129.7765654541,9216.09495269583,0.118687708824677,-93054.8686313797
122,0.333339018086878,0.674992406914654,7608.94902009542,10128.4969960082,9200.56703805196,0.115998648736771,-93076.8042412866
123,0.358321503899566,0.651195570200478,7343.17415239177,10096.5376268124,9197.6973774879,0.120007431567754,-93180.7006725166
124,0.358316148235748,0.651146981703538,7264.68025680836,10080.7134278581,9151.46614332148,0.119213401046797,-93130.3517997377
125,0.349996795046971,0.666672779216319,7316.63968952728,10068.7025361405,9120.65747958978,0.117737082760498,-93085.9781418685
126,0.349993439924828,0.666674324206725,7324.85774819402,10060.1100577385,9112.60284816486,0.117943002541965,-93190.4925052095
127,0.349997688175244,0.642836719629431,7318.38860383566,10057.8110988711,9135.19776054721,0.117742424584574,-92946.9614949282
128,0.358316602426974,0.651164945063454,7249.67932328004,10122.0227190041,9121.29907733502,0.118935955084046,-93127.8718450386
129,0.358327705429539,0.651185545434658,7250.24599030511,10145.6598027187,9109.48157902958,0.11888305863136,-92589.0933176801
130,0.358334987572686,0.651169734384562,7291.74591297537,10107.6794725344,9066.37157400771,0.119929087503836,-92076.6892189477
131,0.366678649234644,0.636383400978667,7283.03590399064,10100.0646734128,9072.41803855395,0.122260300911302,-92163.6739710066
132,0.358335321280924,0.627911195483645,7248.68355408347,10000.5473762353,9054.65057596274,0.119960303898896,-88298.5111068524
133,0.366647195093214,0.613613331452495,7144.9556197833,9953.16378285524,9063.44405749134,0.121077987414768,-88439.7140842471
134,0.358332831965916,0.627920379878818,7181.54320579649,10046.486916458,9090.37313791233,0.118533115551834,-87295.3953606933
135,0.358337429524639,0.627875452095581,7118.76378357211,10093.1837827116,9088.95903856997,0.117375060912127,-89004.3694823552
136,0.366668005940872,0.613632145640049,7243.15349665046,10140.2572801605,9149.60596455735,0.121018383839882,-93158.6654405482
137,0.350024404703473,0.619045416493232,7372.36763422506,10197.9385168155,9203.35113238791,0.117392970495832,-92796.2855324782
138,0.358334941438962,0.62790453389181,7261.99768515751,10121.6732520049,9146.25479772182,0.118985322601415,-93688.7814331111
139,0.349995167686985,0.595216520381386,7332.53240949278,10062.9223693731,9205.26076759092,0.11753632592679,-92838.5583128743
140,0.35833949146723,0.581412235968246,6964.87968553232,9961.19195595154,9174.91094863428,0.115375537821677,-88300.9395470284
141,0.358331482133618,0.604650169996133,6951.25846498131,10001.9685981544,9158.07676304244,0.115046244536536,-88637.4638290107
142,0.349976981211387,0.595233945905999,7100.704600783,10053.453948117,9181.36776705961,0.11441501124717,-88905.4034610167
143,0.366659708314989,0.568179036424583,6971.15849984707,10011.4204581967,9200.8646908202,0.117420269092974,-89035.1960548181
144,0.350000943169864,0.571414810783221,7360.2033596375,10121.064551687,9295.03704234198,0.117136097992601,-92301.0253767408
