i,eta,kappa,phi_plus,phi_minus,omega_plus,omega_minus,epsilon_b,epsilon_s,mu,alpha,delta,pin,alpha_prior,delta_prior,pin_prior,log_likelihood,n_iter,pls_next
150,0.36843047061670753,0.5428546940174658,0.04765985811550401,0.272732781868315,0.25002499750030444,0.16669444212988307,10159.30672001075,9331.461830925018,7451.055906405459,0.3624344838231345,0.611098766803672,0.12169278244868942,0.0019940179461615157,0.5,0.0007617053216631953,-118242.72391560467,8,-2747.8125012490937
151,0.35790448721190427,0.5294100346735038,0.047659858110533304,0.272732781868315,0.2500249975824379,0.16669444222114693,10135.076940678986,9302.268120313403,7478.436778137497,0.3554379072755861,0.6025781477196622,0.1203016058104008,0.9990029910269193,0.999001996007984,0.277645691272984,-120727.76407728145,8,-4708.620785609331
152,0.3608342010040929,0.5714244900291391,0.05004249362595593,0.2812548823547792,0.2105567834964769,0.17394139640031298,10200.214349919219,9308.272926870271,7688.478026399231,0.3560747966198014,0.6235465547197077,0.12306273014269359,0.0019940179461615157,0.5,0.0007852441041443336,-125172.47855143761,8,-585.1225387031409
153,0.3541764319865105,0.5588200694076013,0.05004249362594922,0.27273278186831496,0.210556783496588,0.16669444212982248,10202.641724788797,9339.744667432316,7667.226659037291,0.34869998035395255,0.6143680380875447,0.12034425737775672,0.9990029910269193,0.999001996007984,0.2815819117192816,-125418.837206975,8,-50.7820283653928
154,0.3505252414949025,0.5588200693464299,0.050042493620745726,0.2812548823547793,0.2105567835829999,0.13046691592035478,10194.03452965698,9345.79131520087,7660.044152897975,0.3429110068193572,0.6262405344172356,0.11849903214410772,0.9990029910269193,0.0009980039920159682,0.28141885435207,-125378.3627869424,8,-478.2982673839243
155,0.3469485627990978,0.5588200694076819,0.0526758932800084,0.2812548823547793,0.22225308299077876,0.13046691592035478,10220.339186307057,9324.57095971493,7696.720266095872,0.34230147172318437,0.6274359879229894,0.11878525786312479,0.0019940179461615157,0.5,0.0007846214858048289,-125624.11603650148,8,-50.25853308247981
156,0.34694856279909814,0.5588200694076819,0.0526758932800084,0.2812548823547793,0.22225308299077876,0.13046691592035478,10218.805816360946,9323.490038055514,7697.958411782662,0.3423014717231846,0.6274359879229897,0.1188161008587732,0.0019940179461615157,0.5,0.0007848525042519156,-125640.62251066325,8,-294.74628229283206
157,0.35715233207146735,0.5428546940174847,0.0526758932800084,0.2812548823547793,0.2222530829907788,0.13046691592035478,10224.908676379382,9310.919828477729,7648.764236809566,0.348447497122496,0.6166853638620644,0.12004820513765735,0.0019940179461615157,0.5,0.0007800987432551258,-125198.29214579613,8,-836.4106759112307
158,0.3608342010040926,0.5428546940174848,0.050042493625956086,0.2812548823547793,0.210556783496474,0.13046691592035478,10224.264677188008,9284.173486861291,7666.1981000546075,0.34901247575649796,0.6153713033111565,0.12060919234240816,0.0019940179461615157,0.5,0.0007829723490127571,-125393.4532406658,8,-298.96399840365376
159,0.37114316052080865,0.5277762346536304,0.050042493625956086,0.2812548823547793,0.210556783496474,0.13046691592035478,10243.581583478059,9288.380398868949,7656.5686409543205,0.3550016755311574,0.6050654432604958,0.1221612481985051,0.0019940179461615157,0.5,0.0007810485582381701,-125109.38142601539,8,-302.2483695435361
160,0.37500911429851136,0.5277762346536303,0.047659858115507304,0.2812548823547793,0.2000299970003,0.13046691592035478,10243.569945817062,9256.221883566941,7676.918179820732,0.3557234797898112,0.6037618382824588,0.12284210395307324,0.0019940179461615157,0.5,0.0007844137526402812,-124763.84687345319,8,-922.2225947429816
161,0.37500911429851147,0.5277762346536304,0.047659858115507304,0.2812548823547793,0.2000299970003,0.1304669159203548,10259.00879533188,9248.538599783278,7743.617318459518,0.35572347978981134,0.6037618382824588,0.12373416276372495,0.9990029910269193,0.999001996007984,0.28395443650059127,-125491.7496342392,8,-1113.74826839833
162,0.3750091142987706,0.5277762346517871,0.04765985811535673,0.2500078117676468,0.2000299970029539,0.12503124739605034,10165.642230007996,9218.611950352933,7744.092761213153,0.34916218241683017,0.594819291525515,0.12241579267569412,0.9990029910269193,0.999001996007984,0.28525786344061776,-122795.75313690165,7,-310.5607958816119
163,0.3814521203896706,0.5405383468582659,0.04765985791230006,0.25807179950327386,0.20003000058182552,0.13046691592035473,10160.863729277182,9216.527776534936,7725.23661570217,0.3556057622066983,0.6050173595482924,0.12416709575263381,0.0019940179461615157,0.5,0.000794329019689524,-123005.65706215662,7,-432.82524217602327
164,0.3750091142985602,0.5277762346532844,0.047659858115479035,0.25000781176764675,0.20002999700079824,0.1250312473960503,10196.247545562055,9272.386253542392,7676.922569032172,0.3491621824164668,0.5948192915261403,0.12102017836394152,0.9990029910269193,0.999001996007984,0.2826035886340244,-121789.29386338835,7,-1055.7387977507142
165,0.37500911429851147,0.5000000000000001,0.04549379630050447,0.2580717995032739,0.23812017903056854,0.13046691592035473,10118.095210328665,9254.406235476483,7591.92043042745,0.35572347978981145,0.5848960495038297,0.1223489766840112,0.0019940179461615157,0.5,0.0007808286972795842,-122272.0477612971,8,-201.74089200611158
166,0.385425455454517,0.48648721690719426,0.04549379630050446,0.25807179950327386,0.2381201790305689,0.1304669159203551,10128.262476862337,9277.285584016803,7546.125849279108,0.3617733804841571,0.575801302293099,0.12333053590312842,0.0019940179461615157,0.5,0.0007748017110069847,-122264.22976574923,8,-777.7459292531622
167,0.37895645400671496,0.4999999999999989,0.0435160631222013,0.25807179950327386,0.22729751840742013,0.130466915920358,10122.299600683962,9272.428317821135,7551.422799449941,0.35641725967700955,0.5832660418827635,0.12186157905899152,0.9990029910269193,0.0009980039920159682,0.28004008506070044,-122620.02630668285,8,-2372.608013245097
168,0.3814521200375245,0.5405383492784174,0.047659858115507304,0.25807179950327386,0.15003499650034996,0.1304669159203547,10187.204123845757,9259.316138792712,7752.412902556244,0.3490124757564978,0.5961427527592971,0.12214081268774889,0.9990029910269193,0.999001996007984,0.28482312494981527,-124738.13191273857,8,-455.0723258939602
169,0.3814521200375246,0.5405383492784173,0.047659858115507304,0.25807179950327386,0.15003499650034996,0.13046691592035473,10166.083798146912,9265.195259617101,7840.56459112685,0.3490124757564978,0.5961427527592971,0.1234431480239938,0.9990029910269193,0.999001996007984,0.2872923948939282,-124097.22086208168,8,-182.01144208125766
170,0.38542545545449647,0.5135127830927635,0.04549379630049782,0.25807179950327386,0.19050566612715958,0.13046691592035473,10076.985519635544,9250.15928025284,7623.177415664898,0.3557234797898144,0.5848960495038258,0.12304355817292467,0.0019940179493703426,0.4999999991953867,0.0007858794868917216,-119660.0447603577,8,-608.7171793440648
171,0.37500911429851147,0.5000000000000001,0.04549379630050447,0.25807179950327386,0.19050566612703554,0.13046691592035473,10035.880146886595,9268.670216425542,7627.798943617136,0.34907323425413095,0.5753440915272827,0.12121067487454999,0.9990029910269193,0.999001996007984,0.2830182477585767,-119716.80577676478,7,-1037.9103397540139
172,0.37114316052080876,0.5,0.04549379630050447,0.2666733326667334,0.19050566612703554,0.13639669120989004,10012.196213448193,9252.82561611233,7713.307052444241,0.3490124757564981,0.5769142022074377,0.12260476213281836,0.0019940179461615157,0.5,0.0007977257136919406,-120308.57752524767,7,-325.6266708284487
173,0.37114316052080865,0.5000000000000001,0.04549379630050447,0.2666733326667334,0.19050566612703554,0.13639669120989004,10033.442259800922,9244.62044833429,7709.885263611632,0.3490124757564981,0.5769142022074376,0.12248428730827818,0.0019940179461615157,0.5,0.0007968331453997966,-120598.83646893594,8,-3493.1994987725507
174,0.37755987061620566,0.5405383492784157,0.04765985811550714,0.2666733326667334,0.15003499650035265,0.13639669120989004,10162.7786912739,9241.64023424496,7778.531839164208,0.3490220967449347,0.5974978516604191,0.12273804714979274,0.0019940179461615157,0.5,0.0007986914739286741,-123149.9766885518,7,-583.2637827655078
175,0.38145212003759,0.540538349277969,0.04765985811546967,0.2903267425732993,0.1500349965010549,0.13639669120989,10183.684539652499,9230.337758460566,7704.612690209479,0.3558630534737012,0.6053570103604425,0.12375025263823801,0.0019940179461615157,0.5,0.0007907165167226254,-122968.95468035458,8,-255.2814958976629
176,0.3854254554545171,0.5405383492784175,0.047659858115507304,0.2812548823547793,0.15003499650034996,0.13046691592035478,10223.687480204788,9247.191721683777,7679.264884717307,0.35572347978981145,0.6037618382824587,0.12303505095682417,0.0019940179461615157,0.5,0.0007858175756158712,-122234.09391428415,8,-173.67665682561346
177,0.37500911429851136,0.5277762346536303,0.047659858115507304,0.2812548823547793,0.15003499650034996,0.1304669159203548,10211.321551158133,9233.762640016868,7692.304214577951,0.3489122757640189,0.5944720388531475,0.12128593753960153,0.9990029910269193,0.999001996007984,0.2832552333939205,-121645.11643797728,8,-219.7357589891299
178,0.3711431902685778,0.5277760186945621,0.047659840472633636,0.2903267425732993,0.1500353268893086,0.13639669120989,10165.462406310911,9245.271009163785,7694.179583705746,0.34901252793427484,0.5961426636352655,0.1215311865591447,0.0019940179461615157,0.5,0.0007897803123082262,-119650.36065854497,7,-1069.8036619992702
179,0.37500911429851147,0.5000000000000001,0.04549379630050447,0.2903267425732993,0.19050566612703554,0.13639669120989,10088.273078978453,9232.564761066269,7654.531625072115,0.3557234797898114,0.58489604950383,0.12352247438140881,0.0019940179461615157,0.5,0.0007893666536124124,-120393.12871179637,8,-7031.452705233982
180,0.3814521200375245,0.5405383492784174,0.047659858115507304,0.2903267425732993,0.15003499650034996,0.13639669120989,10167.3034621406,9231.493834488914,7937.525976482737,0.3558630534735902,0.605357010360629,0.12710311625748258,0.0019940179461615157,0.5,0.0008152395091109921,-127080.43528084474,9,-360.9976623541914
181,0.37500911429851136,0.5277762346536303,0.047659858115507304,0.31250195294191163,0.15003499650034996,0.13639669120988995,10153.707626257117,9235.690146980602,7879.18498335937,0.35572347978981145,0.6037618382824587,0.126297076427775,0.9990029910269193,0.999001996007984,0.28874245816147065,-127183.61214416931,8,-53.43636152546642
182,0.37500911429851136,0.5277762346536303,0.047659858115507304,0.31250195294191163,0.15003499650034996,0.13639669120988995,10165.187122559239,9241.816006765284,7937.412334850011,0.35572347978981145,0.6037618382824587,0.12701111080034172,0.9990029910269193,0.999001996007984,0.29006998494599134,-126638.96130162866,8,-66.7700629065479
183,0.37500911429851136,0.5277762346536303,0.047659858115507304,0.3437490235290442,0.15003499650034996,0.14289115322350252,10164.089578864641,9240.905927885404,7928.065443249134,0.36303539475576563,0.6133465898399195,0.12916336226031142,0.0019940179461615157,0.5,0.0008140087609143669,-126661.9765279131,8,-572.1883908195913
184,0.3789564540067156,0.5277762346536304,0.047659858115507304,0.3333333333333333,0.15003499650034996,0.18184710480865376,10164.170658332112,9255.287309784706,7930.900561967528,0.3679943652150661,0.6007998923935182,0.13065308974421272,0.0019940179461615157,0.5,0.0008136936691385642,-127118.61174798213,8,-522.5865648006372
185,0.3829877769858412,0.52777623465363,0.04549379630050447,0.3333333333333333,0.1428911532235025,0.18184710480865376,10174.097696224264,9265.696665117517,7920.669100268524,0.3691454878564383,0.5999890920990436,0.13074235068815074,0.0019940179461615157,0.5,0.0008117953604721014,-126289.8150168015,8,-101.44790368966639
186,0.3936257353488718,0.5405383492784176,0.04549379630050447,0.3333333333333333,0.1428911532235025,0.18184710480865376,10178.350420278344,9257.23013938613,7893.723777261051,0.3764088940009279,0.6087774814705179,0.13260534386665243,0.0019940179461615157,0.5,0.0008092112122686137,-126349.2497938054,8,-246.2777309742868
187,0.39785813360859323,0.5405383492784174,0.04549379630050447,0.3235302767402876,0.1428911532235025,0.21741587688027134,10200.15572400772,9295.672310117197,7826.11501175537,0.38125155506578,0.597170406330272,0.13273036942225017,0.0019940179461615157,0.5,0.0007998086775033017,-125579.40148345691,9,-258.6817951632492
188,0.4021825375259501,0.5405383492784173,0.043516063122201444,0.3235302767402876,0.13639669120989,0.21741587688027134,10208.0764729124,9303.533598032463,7818.231581088541,0.38256749592306505,0.5964810721678419,0.13291796370088,0.0019940179461615157,0.5,0.0007983578939905146,-125759.64411897953,9,-71.21789490277213
189,0.40218253752595035,0.5405383492784173,0.043516063122201444,0.3235302767402876,0.13639669120989,0.21741587688027134,10209.618998618338,9331.226666280505,7800.285769384703,0.38256749592306516,0.5964810721678417,0.13248116539790045,0.0019940179461615157,0.5,0.0007953360612173661,-125499.82269223689,9,-4283.800102526029
190,0.39362573535236633,0.5945894816270865,0.047659858113613555,0.3235302767402876,0.10003999603794905,0.21741587688027134,10329.021583879969,9325.362191044338,8071.099818880693,0.376445665587247,0.6257941096343627,0.13389013322634075,0.0019940179461615157,0.5,0.0008181762606605656,-129706.32036207424,11,-922.7788225484433
191,0.3978604092502792,0.5945751054245185,0.047658651050989036,0.342856326600577,0.10006392961469844,0.2174158768802713,10340.549879638593,9328.459641191233,7987.362047366319,0.3832643863299432,0.6325507900573049,0.13467811604819596,0.0019940179461615157,0.5,0.0008090929474925408,-130365.09815595832,11,-773.6471397491775
192,0.3505471862020305,0.5882301040905238,0.050042493622919404,0.28139123705138047,0.1053047047611924,0.21741587688027117,10365.125301254488,9506.85544241868,8272.034459188077,0.34172688730878475,0.6074015343116134,0.12453442037434902,0.9990029910269193,0.999001996007984,0.2937110937564758,-130776.35098559553,8,-1597.4192371274326
193,0.36083550297144473,0.5999953466412293,0.05004249362595348,0.31250104670779344,0.10530470476791334,0.18184633776157091,10409.807876919374,9472.060547985879,8191.455390279963,0.3509675554540256,0.6354017307139761,0.12633299198121073,0.9990029910269193,0.0009980039920159682,0.2915817815087477,-132244.91794736052,9,-280.410439933235
194,0.3978581336419509,0.5945894814389056,0.050042493606448434,0.3333333333333333,0.10530470513506415,0.1666944421298225,10368.662876838602,9338.337600877105,7965.204949339096,0.3758564919420816,0.642841838284958,0.1318798173222959,0.0019940179461615157,0.5,0.0008052961334864445,-131957.5332678581,12,-115.51821660332455
