i,eta,kappa,phi_plus,phi_minus,omega_plus,omega_minus,epsilon_b,epsilon_s,mu,alpha,delta,pin,alpha_prior,delta_prior,pin_prior,log_likelihood,n_iter,pls_next
150,0.4933402663893445,0.45946165072158246,0.17501187410944177,0.2647119371820134,0.24243985213017383,0.5199984001279899,9978.863405853106,9991.737978159568,5037.716636586175,0.49665456448939327,0.45946274626381645,0.1113357713663807,0.0019940179461615157,0.5,0.0005027513644182299,-1988.9021291394183,8,-12.322382156230876
151,0.48000746636801206,0.44444753069273923,0.17501187410944177,0.2647119371820134,0.24243985213017383,0.5199984001279899,9978.31274762291,9992.613710540078,5037.611752270488,0.4888420954358219,0.45235535966044205,0.10977306904758821,0.9990029910269193,0.999001996007984,0.20127526365945503,-1988.4862605659762,8,-13.363193913067136
152,0.4868492033209215,0.4594616507215827,0.17501187410944177,0.272732781868315,0.24243985213017383,0.5416631947337721,9979.487603355848,9991.722164306953,5032.550889230857,0.49782521081543085,0.4590352619111537,0.111464249142505,0.0019940179461615157,0.5,0.0005022208028776525,-1986.2334759378016,8,-13.151782435254109
153,0.48000746636801206,0.44444753069273923,0.17501187410944177,0.2941211069611505,0.24243985213017383,0.5416631947337722,9979.670843795508,9991.682636127825,5031.495048540662,0.4966545644893934,0.4594627462638164,0.11120984096344642,0.9990029910269193,0.999001996007984,0.20107658080867363,-1986.3618104679983,8,-12.901356184960129
154,0.48000746636801206,0.44444753069273923,0.17501187410944177,0.29412110696115046,0.24243985213017383,0.5,9980.695203888987,9992.085172416877,5030.069869256396,0.49060309790895407,0.4653115827169615,0.10996914311130969,0.9990029910269193,0.0009980039920159682,0.20101960030070412,-1986.8709589670573,8,-12.70486878125655
155,0.4868492033209215,0.4324360845359712,0.17949901289644385,0.29412110696115046,0.25001562402349853,0.5,9980.69630933951,9991.946180825233,5030.214236534841,0.4960236591811237,0.45997458500452076,0.1110527543069902,0.0019940179461615157,0.5,0.0005019517432533344,-1987.7546235352752,8,-11.792758421494657
156,0.48000746636801195,0.416671296039109,0.17501187410944177,0.29412110696115046,0.24243985213017383,0.5,9980.262420904022,9990.797308272187,5030.97661308412,0.48875732900836744,0.45172935245257323,0.10962675792903603,0.9990029910269193,0.999001996007984,0.20106239068223103,-1986.514414174682,8,-16.723779380637588
157,0.4868492033209215,0.40541051835035946,0.17501187410944177,0.272732781868315,0.24243985213017383,0.49999999999999994,9980.198940624901,9993.090946094226,5030.671852397984,0.4882412283954823,0.4388017474661973,0.10950687927229412,0.9990029910269193,0.999001996007984,0.201034723802935,-1990.597128523248,8,-13.380479394548221
158,0.4868492033209215,0.40541051835035946,0.17074360412652734,0.2500078117676468,0.23530968766543148,0.5,9978.352179795551,9993.448700344901,5030.5498199452895,0.48231956321548636,0.43060597827139707,0.1083274458972062,0.9990029910269193,0.999001996007984,0.2010428022457166,-1990.7829689670532,8,-12.723802987644419
159,0.49351323974390604,0.39474238197989586,0.17074360412652734,0.2580717995032739,0.23530968766543148,0.5217372402399792,9979.80764925894,9992.495003678221,5026.888044881495,0.48918444599362343,0.4253268917855509,0.10962658793215327,0.0019940179461615157,0.5,0.0005016285288959656,-1987.733535871302,8,-13.970360861734433
