i,60,90,120,150,180
60,-43.31089928598116,,,,
61,-440.9567538918796,,,,
62,-660.2896572069029,,,,
63,-377.3383909244774,,,,
64,-3620.797166691512,,,,
65,-708.199576654326,,,,
66,-684.4770822612846,,,,
67,-2081.9308754659214,,,,
68,-32.28958596108412,,,,
69,-382.3978416532017,,,,
70,-168.14854109196756,,,,
71,-945.2891693074204,,,,
72,-1214.3893868832554,,,,
73,-1104.31012826691,,,,
74,-6367.326793005333,,,,
75,-21.187345084115897,,,,
76,-2970.698159743159,,,,
77,-829.7066595906775,,,,
78,-722.9396193617927,,,,
79,-1061.10135555749,,,,
80,-623.0688737293489,,,,
81,-518.960879001022,,,,
82,-851.8642204259664,,,,
83,-1538.4652529404264,,,,
84,-1696.3548157160983,,,,
85,-1044.3905805328452,,,,
86,-38.768645609156,,,,
87,-310.6617580724642,,,,
88,-445.9554610003082,,,,
89,-71.04389150202337,,,,
90,-345.3649594415981,-82.15739417021219,,,
91,-60.01344475415687,-41.57493561296474,,,
92,-262.03819382720377,-661.446651971219,,,
93,-801.2075881514204,-922.3152619482056,,,
94,-215.89155588591825,-135.87110309873754,,,
95,-3027.068473778973,-3109.1727820382994,,,
96,-199.1358300917375,-605.2295825729132,,,
97,-462.7014584191813,-411.8201377921819,,,
98,-2564.73219968106,-2635.5865493114493,,,
99,-982.462652095493,-1004.0158053961036,,,
100,-641.7804803671379,-666.574186045555,,,
101,-750.0740696720429,-715.6169005864823,,,
102,-760.33285115376,-652.9938852311975,,,
103,-43.594516993587305,-33.91426842192862,,,
104,-560.2144440806865,-623.0795209320611,,,
105,-670.7924750408682,-675.2978919723316,,,
106,-2412.500731090624,-3064.901857657854,,,
107,-137.20870165360367,-138.20478740050478,,,
108,-1466.3779981565044,-1510.2651693381888,,,
109,-224.5660168379697,-244.64718861256011,,,
110,-635.3852718839614,-650.0811815769852,,,
111,-303.6416672865805,-255.10952655826208,,,
112,-639.0252605776827,-550.1775880013862,,,
113,-859.4208830605841,-805.3938494677983,,,
114,-815.3716972652555,-276.29526995109154,,,
115,-1390.2440890483049,-935.1267364854336,,,
116,-913.0555729007334,-311.4954456639188,,,
117,-95.64800965541694,-54.01259552375218,,,
118,-135.90609099021944,-97.47302344549529,,,
119,-1763.8597534259204,-1848.157371726993,,,
120,-255.33078309279665,-230.401637002178,-581.2604605828232,,
121,-230.78566956742176,-214.7864867366223,-539.6951759356356,,
122,-476.670794633812,-375.3471832808805,-295.0264438860334,,
123,-51.99811617436071,-60.8155226022474,-91.2162827261543,,
124,-135.07679963846843,-149.53114653296487,-207.3745635205144,,
125,-85.49369415549641,-115.06308042820436,-157.42729201554587,,
126,-37.49806805410967,-42.06315766473542,-45.5839370405625,,
127,-1027.003626499624,-887.6902504203113,-966.0627306347536,,
128,-104.9679159529008,-68.70268450998276,-29.75817546856484,,
129,-129.70074390597483,-217.4356042960016,-240.4304795428205,,
130,-417.22217922200616,-328.3849578987434,-133.51474075036057,,
131,-129.99222491331935,-215.28973086960335,-235.7158382610799,,
132,-116.01406675959102,-190.76612324010568,-198.86991236928768,,
133,-379.0243786744192,-518.3375121684511,-540.5916742376062,,
134,-2807.262780108248,-2377.420433095125,-2303.4182728000374,,
135,-5624.298317995594,-4431.108304342201,-4330.6186938827705,,
136,-99.25361415856725,-55.427016619440586,-53.24227859134539,,
137,-909.7914515652524,-1099.861723827628,-1131.8385644746584,,
138,-118.3164382408184,-206.45003799221243,-195.51883465055388,,
139,-356.4784086886005,-302.4495982960319,-284.7827015689212,,
140,-669.2396720978185,-809.9809576570336,-703.4410951581467,,
141,-582.0547015410817,-791.6742091326996,-743.8354423256367,,
142,-57.08900483116197,-29.485747510676944,-31.272599326022625,,
143,-5500.034787316103,-4269.419624004811,-4403.440237004264,,
144,-624.7914263801385,-573.9263060398856,-652.1903526235225,,
145,-1084.1242343311671,-1281.7236471905514,-1209.8139180572714,,
146,-1037.7581843778974,-1157.9776178069349,-911.0451936443784,,
147,-705.7077659174101,-851.4678422920123,-746.5886906251769,,
