model,param,window,lag,PACF
HPIN,epsilon_b,180,3,0.12461139780854086
HPIN,epsilon_b,180,4,0.055073456451720064
HPIN,epsilon_b,180,5,0.013540781834331318
PIN,epsilon_s,180,1,0.942526585025296
PIN,epsilon_s,180,2,0.21068709392838925
PIN,epsilon_s,180,3,0.11366424493747375
PIN,epsilon_s,180,4,0.07546198654537666
PIN,epsilon_s,180,5,0.08405878470484544
HPIN,epsilon_s,180,1,0.9633825964794543
HPIN,epsilon_s,180,2,0.13753300834925872
HPIN,epsilon_s,180,3,0.11872282277777228
HPIN,epsilon_s,180,4,0.04771115786332334
HPIN,epsilon_s,180,5,0.012435788533862563
PIN,mu,180,1,0.9893053328158328
PIN,mu,180,2,0.15054526164128762
PIN,mu,180,3,0.018925741302908666
PIN,mu,180,4,-0.002009103804816294
PIN,mu,180,5,0.047330933969839194
HPIN,mu,180,1,0.9892466693079169
HPIN,mu,180,2,0.13048102297788824
HPIN,mu,180,3,0.0634581487540014
HPIN,mu,180,4,0.003082786250426606
HPIN,mu,180,5,-0.0052627670485406175
