,persistence_asymmetry,switch_rate,spectral_gap,transition_entropy
0,0.13999495147298335,0.5096241797592309,0.9999999999999999,0.788197047698053
1,0.1733055989442597,0.5340443033441535,1.0,0.8146525150760124
2,0.08665838417852434,0.4895283076199459,0.9999999999999999,0.7706187576084566
3,0.0866568292106811,0.4895147254597584,0.9999999999999999,0.7706013571875185
4,0.10000630600280082,0.4744029241599272,1.0,0.7488455770185415
5,0.10667097465549652,0.48072689063310725,1.0,0.7560228657201532
6,0.10667428150313951,0.4807186627751975,1.0,0.7560114436635063
7,0.11332865131589356,0.48684461445964367,1.0,0.7629147535257441
8,0.10665251051634422,0.494309472953978,1.0,0.7738788561589571
9,0.11335573898413623,0.5001826886242755,1.0,0.7804876188670141
10,0.11335309108363151,0.5129743283559168,0.9999999999999999,0.7972676697444463
11,0.12665925202966372,0.4985636269972671,1.0,0.7759908164274221
12,0.10001816610101216,0.5144121295407424,0.9999999999999999,0.8010707073212893
13,0.10663490463771214,0.5199076586809873,0.9999999999999999,0.8072992662474994
14,0.10002080432254085,0.5143891707096824,0.9999999999999999,0.8010405748402398
15,0.10667542224633647,0.5199174500885767,1.0,0.8073063558667695
16,0.09333265364415239,0.5212363883990905,0.9999999999999999,0.810751694077025
17,0.10003165993090951,0.5266578073183359,0.9999999999999999,0.8169252624675746
18,0.10000390127419445,0.5144250537761587,1.0,0.8010893968278496
19,0.09999282314566754,0.5144072283743123,1.0,0.801067776121438
20,0.09998794814287804,0.5144033928829119,1.0,0.8010634606667495
21,0.08663492226493791,0.5028464970151652,1.0,0.7878522942179809
22,0.08000819482499816,0.4967845093706056,1.0,0.7808449569805961
23,0.08001121149730378,0.4968105676506861,1.0,0.7808781815135647
24,0.08665554948727977,0.5028350987284842,1.0,0.7878349930209674
25,0.09335288170945066,0.5087126647919876,1.0,0.7945739257802636
26,0.09334845260287183,0.5087255541366373,1.0,0.7945911798215692
27,0.09334151264541818,0.5087040221771861,1.0,0.7945642281227034
28,0.08665593412367595,0.5028274450800772,1.0,0.7878250633260214
29,0.08667712236889835,0.5028287842768371,1.0,0.7878241359801322
