dataset,seed,rho,spectral_gap_true,switch_rate_true,entropy_true,alpha_true,delta_true,pin_true,state_freq
fluxos_sinteticos_rho000,42,0.0,1.0,0.6371191190581716,0.9617367306939595,0.52631578,0.5,0.1162790679177934,"[0.4812, 0.2574, 0.2614]"
fluxos_sinteticos_rho020,43,0.2,0.8,0.5096952952465373,0.9277137549705662,0.52631578,0.5,0.1162790679177934,"[0.4764, 0.2578, 0.2658]"
fluxos_sinteticos_rho045,44,0.45,0.55,0.35041551548199446,0.7958920174451602,0.52631578,0.5,0.1162790679177934,"[0.4534, 0.2764, 0.2702]"
fluxos_sinteticos_rho060,45,0.6,0.4,0.25484764762326867,0.6673281450645309,0.52631578,0.5,0.1162790679177934,"[0.4716, 0.2736, 0.2548]"
fluxos_sinteticos_rho080,46,0.8,0.19999999999999996,0.1274238238116343,0.4228675075829085,0.52631578,0.5,0.1162790679177934,"[0.498, 0.2532, 0.2488]"
fluxos_sinteticos_rho090,47,0.9,0.09999999999999998,0.06371191190581715,0.2536676446996131,0.52631578,0.5,0.1162790679177934,"[0.417, 0.3174, 0.2656]"
