window,n,median_diff,q25_diff,q75_diff,frac_hpin_better,mean_diff,median_hpin,median_pin
60,4940,-0.008075012688038896,-10.552397761080481,1.8976826171653123,0.4910931174089069,0.6641698789041637,-501.21363629488826,-507.9748482612352
90,4910,0.0037664365784024767,-6.41621157987413,1.3096683852693154,0.5059063136456212,0.464123650166446,-486.14696415399567,-498.6346787171877
120,4880,-0.0055528433288287715,-5.1638265062748765,0.792550003745859,0.4872950819672131,0.8313234897358117,-488.03857228080346,-493.54585758019067
150,4850,-0.005515361961556664,-3.80654653773113,0.5904944513401027,0.4882474226804124,0.24512981537007278,-488.3506892492453,-493.161157172087
180,4820,-0.005079265088312468,-4.58565860567947,0.6633922887161248,0.48941908713692944,-0.452837905414956,-484.32990530066223,-486.28371174360393
