,persistence_asymmetry,switch_rate,spectral_gap,transition_entropy
0,0.1636633220674733,0.4874085153223705,0.8380107436515928,0.7704333944062279
1,0.16366332206748369,0.4755122229236967,0.8295896687122832,0.7543438499296989
2,0.18204266239154693,0.47060306363384286,0.8048255479829018,0.7540636214121449
3,0.1820568687136601,0.4716775478552555,0.7985576653030277,0.744900726793953
4,0.14167607776421273,0.47521908540196656,0.8438468818004523,0.7380435191551453
5,0.16069857771980242,0.47060306363384274,0.8174195723616786,0.7380459774904297
6,0.1606994097996424,0.4706030636338431,0.8174187297406751,0.738046087734869
7,0.2083072972846575,0.47060306363384286,0.7695112586574527,0.7441649186040031
8,0.20830729905226011,0.4833730531630822,0.7719653256639505,0.7521404888983484
9,0.2549665920362005,0.4874085153223706,0.728716230964829,0.7564281127330106
10,0.2549665920362005,0.4874085153223706,0.728716230964829,0.7564281127330106
11,0.4004605832812136,0.4403483644116496,0.6854372797656987,0.7318525873055904
12,0.3896710997976567,0.4439867588601044,0.6973385315420639,0.7291811566473609
13,0.4057609296313477,0.4465439043359751,0.687945804078002,0.7342692130245384
14,0.423001100130957,0.4369921602567871,0.6645648295080573,0.7281165897801312
15,0.4563311004642569,0.4292635688997247,0.6317110157106491,0.7258662795159672
16,0.4391291091946013,0.44154850030060766,0.6514714497773149,0.7569950600421949
17,0.4446266622095894,0.4323158897147704,0.6506266385296484,0.7472860945381576
18,0.4391291091946013,0.42729844720616506,0.6320436889417327,0.7319542641088438
19,0.4230011001309571,0.44019059140316985,0.6442452448718108,0.7389365867135623
20,0.4112584826463357,0.4439029802412931,0.6595344651000936,0.7369504619226823
21,0.3927870033226998,0.45379761194531487,0.6844174151400109,0.7444806164813734
22,0.4284974629163148,0.446610846700233,0.6512447544229252,0.744361475530435
23,0.4112584826463358,0.4537976119453151,0.6682126153595414,0.7470205038890733
24,0.3900389884918242,0.4471411772080379,0.6853448724525624,0.7395454450181697
25,0.3729474182831332,0.45379761194531526,0.7019076221915783,0.7415743895178084
26,0.3729474107761793,0.4537976196104635,0.7019076331672436,0.7415743949720629
27,0.3570765437290847,0.4706030636338427,0.7250289315909215,0.7528899782748718
28,0.3927870042053333,0.46361935207173216,0.6927190493179529,0.7537605613027017
29,0.3767792909263511,0.47483961055433027,0.7186737692525886,0.7706065643675701
30,0.3999333453310671,0.4790057894781067,0.702973476503525,0.7736474300229651
31,0.3999333453310671,0.4790057894781067,0.7029734765035252,0.7736474300229654
32,0.381543983357014,0.4790057894781067,0.7193044377169906,0.7711095887920185
33,0.3815439833570138,0.47900578947810657,0.7193044377169908,0.7711095887920185
34,0.381543983357014,0.4790057894781067,0.7193044377169906,0.7711095887920185
35,0.3975457124251197,0.46220640288095033,0.6943588986692137,0.7593906027499348
36,0.381543983357014,0.47900578947810685,0.7193044377169907,0.7711095887920185
37,0.3975469214463923,0.47484406829780595,0.6915983691792267,0.7670210864665791
38,0.3857132009621795,0.49581124116663444,0.7167222272021705,0.7787744329495679
39,0.4017209095117467,0.4914884510988303,0.6894970619372798,0.7740749133295629
40,0.4053797008016743,0.49583153567112437,0.6901008128517345,0.7746076873899062
41,0.32573750436795607,0.5331495525615922,0.7529964023826196,0.7728020960770516
42,0.3290076240544656,0.5279917453418282,0.7463561106897578,0.7650326911570452
43,0.3044242650414794,0.5378173610208783,0.7739060504916423,0.7695104855760625
44,0.3674653443872673,0.5210191841647244,0.7121726081445618,0.7669151473177003
45,0.37295938144588503,0.5197782065625727,0.7206970162046041,0.7797214273782603
46,0.27773227694160274,0.5397010525964926,0.774812691515431,0.7617467725010096
47,0.2516757130387115,0.5441669925806932,0.7674219344473328,0.7573500272460765
48,0.1695643094475588,0.5323490022605082,0.779500023772742,0.7381784962597633
49,0.2104927155634099,0.5198314079881183,0.7959954629446747,0.7403925539652145
50,0.19441065090342602,0.521019422847113,0.7964616509275407,0.7397578392693404
51,0.24995000981402665,0.5042139670108986,0.7741785219191517,0.7072909019539558
52,0.24995000450105007,0.49263012910464776,0.7800887410474515,0.6970898839499232
53,0.20756712918291392,0.5042139670108984,0.8106012179017965,0.7300659935778948
54,0.26310231998400263,0.4822355760466222,0.7987265631344711,0.6997255695762911
55,0.24994584478928172,0.4874085153223704,0.7932133343940937,0.6997759745338139
56,0.24994584478928172,0.4756228117432063,0.7987580706687197,0.6892004679982339
57,0.2625820398787279,0.5210194186994264,0.7974628001279639,0.7517960486592364
58,0.2625820398787279,0.5085977120091989,0.8056093787519248,0.7461325608376945
59,0.2593119202447169,0.5042139670108983,0.8057445014891357,0.7454559194769301
60,0.22217593766965169,0.4741972013291385,0.788712074333849,0.6662441077343868
61,0.2999335859815272,0.46535422637258045,0.8169847240091875,0.6980841480648363
62,0.3332619200647479,0.4650772053478914,0.804246888620241,0.7040622228618034
63,0.36356557863236844,0.4813751679986945,0.7742430257621349,0.7172884358649091
64,0.3912301340395602,0.4682528494063578,0.7512106770417605,0.7152330644194531
65,0.4073277646005403,0.4874085153223705,0.7475449131195364,0.7332716990501029
66,0.4073277646005403,0.4974320716378095,0.7555908859403735,0.7418792683874291
67,0.3835753644605791,0.4845669917584166,0.6194210364819421,0.7275846807828369
68,0.3534837848060327,0.48740851551452014,0.6444530472441714,0.7284912960252291
69,0.3534837847696743,0.48740851536668706,0.6444530472524381,0.7284912959783741
70,0.353483784758775,0.4996570551071852,0.6434432593054662,0.7331060645165595
71,0.3534846675133199,0.48741210463325924,0.6444528465426829,0.7284924335580302
72,0.32080872339187105,0.49581124112999847,0.6667354346354568,0.7079509971452415
73,0.2661956119420445,0.48040404912469953,0.7027478646498271,0.6743051676373517
74,0.35411769436626606,0.5088783464449472,0.6224062034164112,0.6819412967721483
75,0.3835753644636068,0.5046084269941294,0.6104434460716782,0.7128119065569297
76,0.36106674643317094,0.529448260295184,0.6346314123994445,0.7183260006236812
77,0.3574375199883244,0.5126177799905759,0.6355751101868286,0.7151207635234934
78,0.357437275357962,0.5003765533346591,0.636398050099098,0.7111998275182989
79,0.353483784758775,0.4958112411666345,0.6365531640111466,0.7109654970690696
80,0.353483784758775,0.4834195644664978,0.6373771004349373,0.7061923647011336
81,0.3491538250266864,0.4790057894781067,0.6375705187193447,0.7058577027100519
82,0.3491538289087751,0.4884245184801881,0.643738587923838,0.7174031183947436
83,0.3783906056891809,0.4880230160014497,0.6169984495359405,0.7198384814765155
84,0.3547105365875553,0.49581175223864743,0.6396620597579841,0.7224799768999218
85,0.3590403583715499,0.5126166928551625,0.6385666338941787,0.7268550135619759
86,0.3547103986394648,0.495811241166647,0.6396620937288934,0.7224798288092035
87,0.3547103986397096,0.49581124116688435,0.639662093728887,0.7224798288092095
88,0.3547103986394613,0.4958112411666345,0.6396620937288942,0.7224798288091999
89,0.3547103986394613,0.5079331138589107,0.6387026666587907,0.7268554216581
90,0.3590403583715499,0.5003986398633073,0.6395694398394395,0.7227155015117398
91,0.3547103986394614,0.5079331138589105,0.6387026666587907,0.7268554216580997
92,0.3590403583715499,0.5126166928551625,0.6385666338941787,0.7268550135619759
93,0.35904035837155,0.5245926143096796,0.6376116655810371,0.7303725865083239
94,0.362993848970735,0.5294221445436897,0.6375116582892297,0.7302408593360277
95,0.362993848970735,0.5380086464636288,0.6435235557628902,0.739565872266526
96,0.3415691714187375,0.5462275962322181,0.6635693476547307,0.7414944534342492
97,0.3415691714187375,0.5548742198427951,0.6691910866864935,0.7496180103867064
