run,eps_b,eps_s,mu,alpha,delta,pin,spectral_diag,loglik,n_iter,at_best,degenerate,case
22,9538.396017883626,10132.797153158861,7874.048739419186,0.3808553274742565,0.40181162245120006,0.13228339671259756,0.41162741777742956,-4247362.438017749,10,False,False,ig_full_series
23,10224.10609483121,9394.512220289067,7892.102759749068,0.38664409502151986,0.6487920771715102,0.13460201863897173,0.40833988628534895,-4222298.291105265,11,True,False,ig_full_series
24,10224.122531929752,9394.549764614861,7892.123670269996,0.3866395455377013,0.6487912032774896,0.1346006361330709,0.4083440725516007,-4222298.2910019215,9,True,False,ig_full_series
25,10224.102100528333,9394.498634221798,7892.110325476599,0.3866443206276833,0.6487929290835427,0.13460230265708598,0.40833987565322927,-4222298.291337143,12,True,False,ig_full_series
26,9538.367992078205,10132.776638992102,7874.07641415344,0.38085509572129195,0.40181189278677854,0.13228401353505742,0.4116273117403287,-4247362.438444888,9,False,False,ig_full_series
27,10224.098357796356,9394.479728634955,7892.133592278453,0.38664343258019895,0.6487946098662214,0.1346025129963983,0.40834116902920403,-4222298.291790662,12,True,False,ig_full_series
28,9538.455793022791,10132.805728288522,7874.095555921167,0.3808478583013656,0.40181920150982875,0.13228142923304861,0.411623280498094,-4247362.438515351,9,False,False,ig_full_series
29,10224.105043629525,9394.512226237986,7892.096371404962,0.3866447025325634,0.6487917913432083,0.13460211358043728,0.40833921649489363,-4222298.291107294,13,True,False,ig_full_series
30,10224.106005858082,9394.515792442704,7892.093967847085,0.38664468367953314,0.6487915445362011,0.1346020455376808,0.40833917370306194,-4222298.291059231,13,True,False,ig_full_series
31,10224.12742339973,9394.571530290621,7892.098033221388,0.3866404443749045,0.6487894217261492,0.13460037026437122,0.40834273823509976,-4222298.2910988275,9,True,False,ig_full_series
32,9538.374162404723,10132.79225849535,7874.036757927381,0.38085767387897285,0.401809259691944,0.13228408531590424,0.41162857207957876,-4247362.438321938,9,False,False,ig_full_series
33,10224.13041246293,9394.601378534246,7892.031344162326,0.3866446246540941,0.6487859538967824,0.13460045038451673,0.40833780754872456,-4222298.291528005,11,True,False,ig_full_series
34,10224.097269918284,9394.475330951314,7892.137644912919,0.386643355132401,0.6487949418570894,0.1346025820491598,0.40834132758936437,-4222298.291918088,13,True,False,ig_full_series
35,9538.374210791262,10132.78634218058,7874.054714365666,0.38085631850483515,0.40181063875695566,0.13228397282799711,0.4116279205955271,-4247362.4382974915,10,False,False,ig_full_series
36,10224.105895812898,9394.51533596841,7892.094358595214,0.38664467820648674,0.648791579690827,0.13460205301978678,0.4083391878493982,-4222298.291065072,13,True,False,ig_full_series
37,10224.096007006894,9394.466890823312,7892.152460612612,0.38664254883856364,0.6487958063655027,0.13460261542034888,0.4083423383364198,-4222298.292194928,12,True,False,ig_full_series
38,10224.103147030468,9394.502206536217,7892.108745725072,0.3866442248954661,0.6487927048509624,0.1346022230752777,0.4083399146209951,-4222298.291268633,13,True,False,ig_full_series
39,9538.353508158158,10132.761910608004,7874.103162004048,0.38085403921831595,0.4018129890414055,0.13228425549582914,0.41162677238691686,-4247362.43891524,10,False,False,ig_full_series
40,9538.441102222167,10132.809006445588,7874.067925915275,0.3808509061754024,0.40181609001846147,0.13228201164567205,0.4116250402235608,-4247362.43817232,10,False,False,ig_full_series
41,9538.394860768447,10132.797316416687,7874.046831525828,0.38085554755423806,0.4018113994381552,0.1322834410284915,0.4116275291105667,-4247362.438028964,11,False,False,ig_full_series
42,10224.104976039058,9394.511629914216,7892.0973263310025,0.38664465298356954,0.6487918578857033,0.13460211668912067,0.4083392819064282,-4222298.291115477,12,True,False,ig_full_series
43,9538.38957649667,10132.793886862999,7874.0507266280265,0.38085560344300384,0.4018113487882957,0.1322835655003416,0.41162755932477674,-4247362.438075443,10,False,False,ig_full_series
44,9538.396899882839,10132.798116229003,7874.046909604942,0.3808554069558129,0.4018115403538518,0.1322833832267137,0.41162745753374735,-4247362.438013195,11,False,False,ig_full_series
45,9538.41007279254,10132.788439480608,7874.092115354468,0.3808511348978333,0.40181589177754157,0.13228273426990753,0.4116251793850845,-4247362.438028323,9,False,False,ig_full_series
46,9538.379036690894,10132.784807989887,7874.06525375915,0.38085520616616825,0.4018117666320798,0.13228377201522373,0.41162736331035604,-4247362.438218853,10,False,False,ig_full_series
47,10224.104735121013,9394.508729464103,7892.102810557062,0.3866443339072375,0.6487922059109307,0.13460212015776968,0.4083396830985344,-4222298.291157733,13,True,False,ig_full_series
48,9538.390681311404,10132.79351036126,7874.053214664622,0.38085534314193126,0.4018116128608987,0.13228351906889574,0.4116274278708116,-4247362.438062264,9,False,False,ig_full_series
49,9538.375874280247,10132.770948166957,7874.103184207333,0.3808525602602822,0.4018144733818573,0.13228362683155923,0.4116259759432703,-4247362.438398593,10,False,False,ig_full_series
0,10262.499281998518,9303.11878892982,10872.74579365298,0.3051398939144875,0.7221481728312785,0.1449836625822728,0.46442233482811757,-57374.96672230906,8,True,False,ig_window_60
1,10262.487068887765,9303.083645023002,10872.775081443677,0.3051398939144875,0.7221481728312785,0.1449842965456472,0.46442233482811757,-57374.96672429777,8,True,False,ig_window_60
2,10262.486795613026,9303.082858660293,10872.775736772983,0.3051398939144875,0.7221481728312785,0.14498431073092616,0.46442233482811757,-57374.96672442398,8,True,False,ig_window_60
3,10262.488208560322,9303.086924492109,10872.772348440023,0.3051398939144878,0.7221481728312785,0.14498423738697483,0.46442233482811757,-57374.96672381211,9,True,False,ig_window_60
4,10262.486811710107,9303.082904980502,10872.775698171215,0.3051398939144878,0.7221481728312785,0.1449843098953512,0.46442233482811757,-57374.966724417,8,True,False,ig_window_60
5,10262.492251644122,9303.098558686952,10872.762652878713,0.3051398939144875,0.7221481728312785,0.14498402751673448,0.46442233482811757,-57374.96672258732,7,True,False,ig_window_60
6,10262.499201902638,9303.118558449294,10872.745985727921,0.3051398939144875,0.7221481728312785,0.14498366673991916,0.46442233482811757,-57374.96672229843,8,True,False,ig_window_60
7,10262.488134467858,9303.086711287038,10872.772526118237,0.3051398939144875,0.7221481728312785,0.1449842412330017,0.46442233482811757,-57374.966723841084,9,True,False,ig_window_60
