dgp,window,rho,spectral_gap_true,switch_rate_true,entropy_true,alpha_true,delta_true,pin_true,gap_hpin,switch_hpin,entropy_hpin,pin_hpin,miv_hpin,bias_pin_hpin,err_gap_hpin,err_switch_hpin,gap_pin,switch_pin,entropy_pin,pin_pin,miv_pin,bias_pin_pin,err_gap_pin,err_switch_pin,n_paired
clean,60,0.6,0.4,0.25484764762326867,0.6673281450645309,0.52631578,0.5,0.1162790679177934,0.35960475463474373,0.25126295398183346,0.6046264534872509,0.1156918066245274,0.0038129700043347354,-0.0005872612932660004,-0.040395245365256294,-0.0035846936414352104,,,,,,,,,
clean,90,0.6,0.4,0.25484764762326867,0.6673281450645309,0.52631578,0.5,0.1162790679177934,0.3574694653326387,0.2532325518626875,0.630056014299102,0.11595883661811601,0.0023772825834504335,-0.0003202312996773843,-0.04253053466736134,-0.0016150957605811644,,,,,,,,,
clean,120,0.6,0.4,0.25484764762326867,0.6673281450645309,0.52631578,0.5,0.1162790679177934,0.35878808466174605,0.25381457215291653,0.6409575340748983,0.1165819270407692,0.001737276417516847,0.00030285912297579876,-0.04121191533825397,-0.0010330754703521405,,,,,,,,,
clean,150,0.6,0.4,0.25484764762326867,0.6673281450645309,0.52631578,0.5,0.1162790679177934,0.36250321051233203,0.2538742214984882,0.6465200738130428,0.1158278699467763,0.0013716795535494448,-0.00045119797101710046,-0.03749678948766799,-0.0009734261247804632,,,,,,,,,
clean,180,0.6,0.4,0.25484764762326867,0.6673281450645309,0.52631578,0.5,0.1162790679177934,0.36520387033704244,0.2536648579640022,0.6496422275749799,0.11606190307648845,0.00112151413314785,-0.00021716484130494818,-0.03479612966295759,-0.0011827896592664922,,,,,,,,,
clean,60,0.8,0.19999999999999996,0.1274238238116343,0.4228675075829085,0.52631578,0.5,0.1162790679177934,0.19216929577535297,0.11593635590269011,0.33798082237539384,0.11336861637860915,0.006051372667581485,-0.0029104515391842473,-0.00783070422464699,-0.011487467908944199,,,,,,,,,
clean,90,0.8,0.19999999999999996,0.1274238238116343,0.4228675075829085,0.52631578,0.5,0.1162790679177934,0.1831898296719492,0.12227261035976202,0.37291990672943937,0.114466304391108,0.0034850084943066273,-0.0018127635266853986,-0.016810170328050766,-0.005151213451872291,,,,,,,,,
clean,120,0.8,0.19999999999999996,0.1274238238116343,0.4228675075829085,0.52631578,0.5,0.1162790679177934,0.17765167529761688,0.12370990346755999,0.38624379966763117,0.11525563771153935,0.002338729772771622,-0.0010234302062540473,-0.02234832470238307,-0.00371392034407432,,,,,,,,,
clean,150,0.8,0.19999999999999996,0.1274238238116343,0.4228675075829085,0.52631578,0.5,0.1162790679177934,0.17779861738987507,0.1245887474641622,0.39424205346346297,0.11483886714243866,0.0017854575999427496,-0.0014402007753547413,-0.022201382610124887,-0.0028350763474721125,,,,,,,,,
clean,180,0.8,0.19999999999999996,0.1274238238116343,0.4228675075829085,0.52631578,0.5,0.1162790679177934,0.179209115587394,0.1247625264615135,0.39833982561477294,0.11477372549155865,0.0014744810723490596,-0.0015053424262347487,-0.02079088441260596,-0.0026612973501208004,,,,,,,,,
clean,60,0.9,0.09999999999999998,0.06371191190581715,0.2536676446996131,0.52631578,0.5,0.1162790679177934,0.14620765839186572,0.05189052078223359,0.1678492754472931,0.10250052096510295,0.007159402766638643,-0.013778546952690443,0.04620765839186575,-0.01182139112358356,,,,,,,,,
clean,90,0.9,0.09999999999999998,0.06371191190581715,0.2536676446996131,0.52631578,0.5,0.1162790679177934,0.11856311316188492,0.058346987615954846,0.20228651075070928,0.11172288331646466,0.004673494043005479,-0.004556184601328742,0.018563113161884942,-0.005364924289862308,,,,,,,,,
clean,120,0.9,0.09999999999999998,0.06371191190581715,0.2536676446996131,0.52631578,0.5,0.1162790679177934,0.10699129073986567,0.061508319373343986,0.22256475443545462,0.12133640661790496,0.003416589910736954,0.0050573387001115605,0.006991290739865694,-0.002203592532473167,,,,,,,,,
clean,150,0.9,0.09999999999999998,0.06371191190581715,0.2536676446996131,0.52631578,0.5,0.1162790679177934,0.09834485913126159,0.06420260637595761,0.2380269092373394,0.1226264338782903,0.0023343656891157416,0.006347365960496898,-0.0016551408687383862,0.0004906944701404542,,,,,,,,,
clean,180,0.9,0.09999999999999998,0.06371191190581715,0.2536676446996131,0.52631578,0.5,0.1162790679177934,0.09702972409223803,0.06485910260631136,0.24402457263406452,0.1226541608953612,0.0017844164984380467,0.006375092977567803,-0.0029702759077619434,0.0011471907004942106,,,,,,,,,
