window,param,lag,statistics,p_value
150,epsilon_s,4,4525042.0,3.7472446650887764e-64
150,epsilon_s,5,4885544.0,8.008512236326087e-41
150,mu,1,4333077.0,8.886957881387188e-79
150,mu,2,3401360.0,1.5725512654181318e-171
150,mu,3,5162011.0,1.3954322916036836e-26
150,mu,4,6008267.0,0.017294773700182554
150,mu,5,5839180.0,5.417612072413642e-05
180,pin,1,3906260.0,8.74682977181271e-117
180,pin,2,3603391.0,2.374848648012066e-148
180,pin,3,5304874.0,1.8412791175534963e-20
180,pin,4,5516446.0,6.087869001337866e-13
180,pin,5,3996105.0,3.731267297556973e-108
180,alpha,1,4993910.0,7.290355334390297e-35
180,alpha,2,4726776.0,1.965617862130408e-50
180,alpha,3,5421656.0,4.3965030288320757e-16
180,alpha,4,5618900.0,5.835532820288054e-10
180,alpha,5,3565785.0,1.5480265305895898e-152
180,delta,1,5139216.0,1.2307174911647352e-27
180,delta,2,3055130.0,3.331098821924261e-215
180,delta,3,5377998.0,1.1806911304205416e-17
180,delta,4,6227776.0,0.8181206804408743
180,delta,5,3216275.0,2.954867562952922e-194
180,epsilon_b,1,4976781.0,8.977916967254194e-36
180,epsilon_b,2,2503238.0,3.859545721169445e-295
180,epsilon_b,3,5683023.0,2.5971327285994616e-08
180,epsilon_b,4,6180080.0,0.48566752819083847
180,epsilon_b,5,2997677.0,6.202390975845458e-223
180,epsilon_s,1,2129829.0,0.0
180,epsilon_s,2,2733700.0,3.229254870123444e-260
180,epsilon_s,3,6161707.0,0.380374181979655
180,epsilon_s,4,4616438.0,9.973325409985052e-58
180,epsilon_s,5,2660245.0,4.1534686020953656e-271
180,mu,1,6069199.0,0.0745113379722064
180,mu,2,5482313.0,4.963198419200444e-14
180,mu,3,3937685.0,9.966535056993217e-114
180,mu,4,6010991.0,0.018587866967152106
180,mu,5,3462944.0,2.7678804509319744e-164
