case,n,at_best,degenerate,pin_min,pin_max,mu_min,mu_max
clean_full_series,50,0.86,7,0.0,0.11512004498361468,0.0,5001.113588480641
ig_full_series,50,0.56,0,0.13228142923304861,0.1346026758666349,7874.036757927381,7892.164065103461
ig_window_60,50,1.0,0,0.14498319566856496,0.14498439706089267,10872.724223147832,10872.779725030276
production_rolling,48800,,0,,,,
